"","N_groups","model","N_fac","bias","SD","N","SE"
"1734",722,"MAIHDA","5000",0.399064516129032,1.1363401173793,31,0.204092709987049
"1735",723,"Fixed Effect","5000",0.308958333333333,1.2361969900418,24,0.252337653930569
"1736",723,"MAIHDA","5000",0.500875,1.21412066274141,24,0.247831342490517
"1737",724,"Fixed Effect","5000",-0.188033333333333,1.09514878483224,30,0.199945897758997
"1738",724,"MAIHDA","5000",0.057,1.14622219065277,30,0.209270583244503
"1739",725,"Fixed Effect","5000",0.06184375,1.3346551592652,32,0.235935928415509
"1740",725,"MAIHDA","5000",0.2321875,1.32886731873669,32,0.234912773093975
"1741",726,"Fixed Effect","5000",0.269965517241379,1.22313769470041,29,0.227130967854493
"1742",726,"MAIHDA","5000",0.497034482758621,1.24525110728601,29,0.231237325482825
"1743",727,"Fixed Effect","5000",0.204642857142857,1.6054430382939,28,0.303400215957543
"1744",727,"MAIHDA","5000",0.408071428571429,1.60512417723322,28,0.303339956881162
"1745",728,"Fixed Effect","5000",-0.261296296296296,1.30681812091033,27,0.25149726462982
"1746",728,"MAIHDA","5000",0.00533333333333338,1.36204969975966,27,0.262126586935297
"1747",729,"Fixed Effect","5000",-0.1434,1.11915824022641,25,0.223831648045281
"1748",729,"MAIHDA","5000",0.07236,1.09490018114286,25,0.218980036228572
"1749",730,"Fixed Effect","5000",0.126633333333333,1.26987481010269,30,0.231846359566943
"1750",730,"MAIHDA","5000",0.2749,1.16932047316615,30,0.213487733368572
"1751",731,"Fixed Effect","5000",0.15904,1.46670638620459,25,0.293341277240918
"1752",731,"MAIHDA","5000",0.33592,1.49768098294218,25,0.299536196588437
"1753",732,"Fixed Effect","5000",-0.47675,1.45015217342421,24,0.296011072856444
"1754",732,"MAIHDA","5000",-0.222666666666667,1.43594936530163,24,0.293111936788529
"1755",733,"Fixed Effect","5000",-0.543772727272727,1.27962773350832,22,0.27281754945248
"1756",733,"MAIHDA","5000",-0.347045454545455,1.18561543099626,22,0.252774059210669
"1757",734,"Fixed Effect","5000",-0.485384615384615,1.26265111814541,26,0.247626257318584
"1758",734,"MAIHDA","5000",-0.245461538461538,1.32534050661011,26,0.259920657898457
"1759",735,"Fixed Effect","5000",0.0877619047619048,1.02808301730755,21,0.224346107024306
"1760",735,"MAIHDA","5000",0.244571428571429,1.11716380049788,21,0.24378512759267
"1761",736,"Fixed Effect","5000",-0.22205,0.931547579088295,20,0.208300371111679
"1762",736,"MAIHDA","5000",-0.035,0.956930069490314,20,0.213976068509394
"1763",737,"Fixed Effect","5000",0.04148,1.03765854692187,25,0.207531709384373
"1764",737,"MAIHDA","5000",0.28096,1.00372877644644,25,0.200745755289288
"1765",738,"Fixed Effect","5000",-0.042962962962963,1.24640237611731,27,0.239870249123307
"1766",738,"MAIHDA","5000",0.245814814814815,1.36311422392417,27,0.262331454706275
"1767",739,"Fixed Effect","5000",-0.332052631578947,1.28812238349227,19,0.295515541923976
"1768",739,"MAIHDA","5000",-0.072,1.29243847908603,19,0.296505722162075
"1769",740,"Fixed Effect","5000",-0.0292692307692308,1.29215935728353,26,0.253413299133086
"1770",740,"MAIHDA","5000",0.0764615384615384,1.28340768988718,26,0.251696955947298
"1771",741,"Fixed Effect","5000",0.348,1.49327610434558,22,0.318367535163194
"1772",741,"MAIHDA","5000",0.582272727272727,1.46404193219347,22,0.312134788718299
"1773",742,"Fixed Effect","5000",-0.289888888888889,1.16806234165259,18,0.275314934210394
"1774",742,"MAIHDA","5000",-0.0566111111111111,1.23587797507725,18,0.291299232298741
"1775",743,"Fixed Effect","5000",0.3286,1.05608723936181,15,0.272680552679365
"1776",743,"MAIHDA","5000",0.551133333333333,1.14946415259252,15,0.29679036800355
"1777",744,"Fixed Effect","5000",0.11925,1.23503649068897,16,0.308759122672243
"1778",744,"MAIHDA","5000",0.28425,1.18097984741485,16,0.295244961853712
"1779",745,"Fixed Effect","5000",-0.3563125,0.98589037380769,16,0.246472593451922
"1780",745,"MAIHDA","5000",-0.202375,1.02649285595825,16,0.256623213989564
"1781",746,"Fixed Effect","5000",0.0460000000000001,1.40856673608317,17,0.34162761374132
"1782",746,"MAIHDA","5000",0.209529411764706,1.44188249857812,17,0.349707873021594
"1783",747,"Fixed Effect","5000",-0.340090909090909,1.27185922605809,11,0.383479985362409
"1784",747,"MAIHDA","5000",-0.212727272727273,1.27587507937957,11,0.384690810696994
"1785",748,"Fixed Effect","5000",-0.501692307692308,1.50501081859984,13,0.417414898199212
"1786",748,"MAIHDA","5000",-0.240076923076923,1.5668256370519,13,0.434559244161703
"1787",749,"Fixed Effect","5000",0.179363636363636,1.21991952789742,11,0.36781957713302
"1788",749,"MAIHDA","5000",0.326545454545455,1.25248451995515,11,0.377638291674511
"1789",750,"Fixed Effect","5000",-0.110333333333333,0.85732578405178,9,0.285775261350593
"1790",750,"MAIHDA","5000",0.251888888888889,0.783276841934645,9,0.261092280644882
"1791",751,"Fixed Effect","5000",-0.0670833333333334,1.29059954061762,12,0.372563996095797
"1792",751,"MAIHDA","5000",0.0334166666666667,1.30229576715565,12,0.375940405865911
"1793",752,"Fixed Effect","5000",0.566363636363636,2.11439444157079,11,0.637513911045759
"1794",752,"MAIHDA","5000",0.679454545454545,2.15152198983122,11,0.648708288042635
"1795",753,"Fixed Effect","5000",-0.239142857142857,1.56227690978813,7,0.590485168902554
"1796",753,"MAIHDA","5000",-0.013,1.3696310938838,7,0.517671894616842
"1797",754,"Fixed Effect","5000",0.311307692307692,0.954515442918149,13,0.264734951743354
"1798",754,"MAIHDA","5000",0.528307692307692,0.915592375151681,13,0.253939635079481
"1799",755,"Fixed Effect","5000",-0.24925,0.925158017391006,8,0.327092753883141
"1800",755,"MAIHDA","5000",-0.200375,0.922398726535486,8,0.326117197245539
"1801",756,"Fixed Effect","5000",0.1,0.14992331373072,3,0.0865582655402321
"1802",756,"MAIHDA","5000",0.189333333333333,0.384840659667522,3,0.222187858454157
"1803",757,"Fixed Effect","5000",0.2112,1.23191853987546,10,0.389566847779542
"1804",757,"MAIHDA","5000",0.2518,1.17177157425081,10,0.370546707207367
"1805",758,"Fixed Effect","5000",0.0856363636363636,0.783778957707755,11,0.236318247390223
"1806",758,"MAIHDA","5000",0.329454545454545,0.861880312298217,11,0.259866691826138
"1807",759,"Fixed Effect","5000",-0.861,1.10670117918072,5,0.494931813485454
"1808",759,"MAIHDA","5000",-0.8022,1.17386336513242,5,0.524967656146548
"1809",760,"Fixed Effect","5000",-0.189,0.849616122466821,10,0.268672208379571
"1810",760,"MAIHDA","5000",0.1003,0.790589941471276,10,0.250006491026844
"1811",761,"Fixed Effect","5000",-0.189428571428571,0.919066710879912,7,0.34737456503805
"1812",761,"MAIHDA","5000",0.0565714285714286,0.782046856469793,7,0.295585927974128
"1813",762,"Fixed Effect","5000",-0.791714285714286,1.92058886059161,7,0.725914356560899
"1814",762,"MAIHDA","5000",-0.537857142857143,2.02752668939042,7,0.766333056667593
"1815",763,"Fixed Effect","5000",-0.658833333333333,0.271622839000454,6,0.110889559672877
"1816",763,"MAIHDA","5000",-0.369,0.291798560654435,6,0.119126263546989
"1817",764,"Fixed Effect","5000",-0.316,1.73562342305774,4,0.86781171152887
"1818",764,"MAIHDA","5000",-0.0944999999999999,1.8950548804718,4,0.947527440235902
"1819",765,"Fixed Effect","5000",-0.379125,0.963344388427257,8,0.34059367483746
"1820",765,"MAIHDA","5000",-0.1625,0.912027411868744,8,0.322450383780203
"1821",766,"Fixed Effect","5000",0.7062,1.03999600960773,5,0.465100354762281
"1822",766,"MAIHDA","5000",0.9386,1.12019342079839,5,0.500965727370645
"1823",767,"Fixed Effect","5000",-0.0496,0.854639280632478,5,0.382206305547148
"1824",767,"MAIHDA","5000",0.0576,0.860841332650797,5,0.384979947529738
"1825",768,"Fixed Effect","5000",0.56225,0.798754603533943,4,0.399377301766972
"1826",768,"MAIHDA","5000",0.65825,0.91701558510929,4,0.458507792554645
"1827",769,"Fixed Effect","5000",-0.156666666666667,0.677923545345147,3,0.391399341395006
"1828",769,"MAIHDA","5000",0.159666666666667,0.751282459088014,3,0.433753129991909
"1829",770,"Fixed Effect","5000",0.114666666666667,0.481439854325889,3,0.277959429493666
"1830",770,"MAIHDA","5000",0.364666666666667,0.325025127233778,3,0.187653344701814
"1831",771,"Fixed Effect","5000",0.924333333333333,0.957225852833767,3,0.552654603808845
"1832",771,"MAIHDA","5000",1.019,1.2567461955383,3,0.725582754297078
"1833",772,"Fixed Effect","5000",1.689,NA,1,NA
"1834",772,"MAIHDA","5000",2.173,NA,1,NA
"1835",773,"Fixed Effect","5000",-1.871,NA,1,NA
"1836",773,"MAIHDA","5000",-1.456,NA,1,NA
"1837",774,"Fixed Effect","5000",1.7855,0.716299169341973,2,0.5065
"1838",774,"MAIHDA","5000",1.525,0.766503750806218,2,0.542
"1839",775,"Fixed Effect","5000",-0.8615,1.34845263172275,2,0.9535
"1840",775,"MAIHDA","5000",-0.706,1.09460129727678,2,0.774
"1841",776,"Fixed Effect","5000",0.11925,1.21403003120461,4,0.607015015602305
"1842",776,"MAIHDA","5000",0.2535,1.19077859682926,4,0.595389298414631
"1843",777,"Fixed Effect","5000",0.725,NA,1,NA
"1844",777,"MAIHDA","5000",0.996,NA,1,NA
"1845",778,"Fixed Effect","5000",1.135,NA,1,NA
"1846",778,"MAIHDA","5000",1.876,NA,1,NA
"1847",779,"Fixed Effect","5000",0.825,NA,1,NA
"1848",779,"MAIHDA","5000",0.71,NA,1,NA
"1849",780,"Fixed Effect","5000",-1.044,NA,1,NA
"1850",780,"MAIHDA","5000",-0.571,NA,1,NA
"1851",781,"Fixed Effect","5000",-0.76,NA,1,NA
"1852",781,"MAIHDA","5000",-0.869,NA,1,NA
"1853",784,"Fixed Effect","5000",0.185,NA,1,NA
"1854",784,"MAIHDA","5000",0.103,NA,1,NA
"1855",792,"Fixed Effect","5000",0.738,NA,1,NA
"1856",792,"MAIHDA","5000",1.236,NA,1,NA
"1857",1165,"Fixed Effect","5000",-0.73,NA,1,NA
"1858",1165,"MAIHDA","5000",-0.719,NA,1,NA
